lambdaBS,lambdaSC,numCPE,lambdaUE,deployRange,r_min_cell,r_min_FWA,num_rep,rep_gain,GroupCount,mean_max_FWA,std_max_FWA,median_max_FWA,mean_Band,std_Band,median_Band,mean_Band_FWA,std_Band_FWA,median_Band_FWA,mean_cell_se,std_cell_se,median_cell_se,mean_FWA_se,std_FWA_se,median_FWA_se
5,0,50,600,200,35000000,175000000,2,20,99,54.979797979798,12.9937031829941,54,80000000,0,80000000,78270369.1888195,53796.033646181,78279278.582017,1195.82696236364,20.5421162407776,1195.135026,5.52368745454545,0.819410946686184,5.398608
5,0,50,600,200,35000000,200000000,2,20,99,41.8787878787879,10.225291500533,42,80000000,0,80000000,78270369.1888195,53796.033646181,78279278.582017,1195.82696236364,20.5421162407776,1195.135026,7.15747714141414,1.17560262848228,7.095981
5,0,50,600,200,35000000,225000000,2,20,99,32.6868686868687,8.18491203329547,32,80000000,0,80000000,78270369.1888195,53796.033646181,78279278.582017,1195.82696236364,20.5421162407776,1195.135026,8.88962480808081,1.43212704863734,8.66697
5,0,50,600,200,35000000,250000000,2,20,99,26.4949494949495,6.15840845026378,27,80000000,0,80000000,78270369.1888195,53796.033646181,78279278.582017,1195.82696236364,20.5421162407776,1195.135026,10.5378893131313,1.64432352357906,10.25871
5,0,50,600,200,35000000,275000000,2,20,99,21.7777777777778,5.15980452792932,22,80000000,0,80000000,78270369.1888195,53796.033646181,78279278.582017,1195.82696236364,20.5421162407776,1195.135026,12.3692127777778,2.01644375956186,12.029488
5,0,50,600,200,35000000,300000000,2,20,99,18.7575757575758,4.17008517774042,19,80000000,0,80000000,78270369.1888195,53796.033646181,78279278.582017,1195.82696236364,20.5421162407776,1195.135026,13.7264444242424,2.0230558681328,13.414574
5,0,50,800,200,35000000,25000000,2,20,99,100,0,100,80000000,0,80000000,78266291.0798821,43158.5225758777,78270071.875508,1564.43914539394,30.7520089327378,1565.525046,3.50172781818182,0.35063928260371,3.556072
5,0,50,800,200,35000000,50000000,2,20,99,100,0,100,80000000,0,80000000,78266291.0798821,43158.5225758777,78270071.875508,1564.43914539394,30.7520089327378,1565.525046,3.35810250505051,0.32513539446995,3.387315
5,0,50,800,200,35000000,75000000,2,20,99,100,0,100,80000000,0,80000000,78266291.0798821,43158.5225758777,78270071.875508,1564.43914539394,30.7520089327378,1565.525046,3.28768191919192,0.332401106397557,3.32255
5,0,50,800,200,35000000,100000000,2,20,99,99.2525252525252,2.68914459634845,100,80000000,0,80000000,78266291.0798821,43158.5225758777,78270071.875508,1564.43914539394,30.7520089327378,1565.525046,3.22072547474747,0.327664494474191,3.221739
5,0,50,800,200,35000000,125000000,2,20,99,91.7474747474748,8.98450302345307,94,80000000,0,80000000,78266291.0798821,43158.5225758777,78270071.875508,1564.43914539394,30.7520089327378,1565.525046,3.42320405050505,0.264667761935693,3.404435
5,0,50,800,200,35000000,150000000,2,20,99,74.5959595959596,11.2221711965955,75,80000000,0,80000000,78266291.0798821,43158.5225758777,78270071.875508,1564.43914539394,30.7520089327378,1565.525046,4.15371329292929,0.393999639300137,4.107527
